City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,24.54,88,36,5.66,ZA,2023-01-23 22:18:24
1,punta arenas,-53.15,-70.9167,15.06,41,20,12.35,CL,2023-01-23 22:18:27
2,hobart,-42.8794,147.3294,20.14,79,20,2.57,AU,2023-01-23 22:18:32
3,mahebourg,-20.4081,57.7,24.03,88,75,1.54,MU,2023-01-23 22:18:34
4,tual,-5.6667,132.75,27.93,77,100,6.78,ID,2023-01-23 22:18:35
5,mar del plata,-38.0023,-57.5575,22.68,70,0,5.14,AR,2023-01-23 22:18:37
6,trincomalee,8.5711,81.2335,25.35,81,100,5.3,LK,2023-01-23 22:18:38
7,puri,19.8,85.85,18.29,74,11,2.23,IN,2023-01-23 22:18:40
8,hilo,19.7297,-155.09,28.49,76,0,2.68,US,2023-01-23 22:18:41
9,rikitea,-23.1203,-134.9692,26.35,76,28,8.16,PF,2023-01-23 22:17:02
10,upernavik,72.7868,-56.1549,-21.79,97,98,0.49,GL,2023-01-23 22:18:44
11,sao filipe,14.8961,-24.4956,21.57,64,25,4.54,CV,2023-01-23 22:18:45
12,arraial do cabo,-22.9661,-42.0278,26.92,74,75,2.06,BR,2023-01-23 22:16:48
13,atuona,-9.8,-139.0333,25.97,78,18,8.04,PF,2023-01-23 22:18:48
14,vardo,70.3705,31.1107,-1.01,80,46,13.38,NO,2023-01-23 22:18:49
15,saskylakh,71.9167,114.0833,-21.64,79,100,1.56,RU,2023-01-23 22:18:51
16,tagab,34.855,69.6492,-1.96,49,1,2.7,AF,2023-01-23 22:18:52
17,busselton,-33.65,115.3333,17.74,84,0,7.48,AU,2023-01-23 22:18:53
18,amga,60.8953,131.9608,-38.74,98,100,0.3,RU,2023-01-23 22:18:55
19,igboho,8.8333,3.75,28.59,20,3,0.83,NG,2023-01-23 22:18:56
20,cape town,-33.9258,18.4232,20.05,73,0,1.79,ZA,2023-01-23 22:15:00
21,vaini,-21.2,-175.2,30.09,74,40,1.54,TO,2023-01-23 22:16:57
22,khatanga,71.9667,102.5,-42.59,97,45,2.5,RU,2023-01-23 22:19:00
23,bluff,-46.6,168.3333,12.8,56,67,0.91,NZ,2023-01-23 22:19:01
24,bredasdorp,-34.5322,20.0403,18.34,72,7,3.59,ZA,2023-01-23 22:17:53
25,saint-philippe,-21.3585,55.7679,23.77,90,100,2.43,RE,2023-01-23 22:19:05
26,pavilosta,56.8879,21.1859,-2.05,80,30,4.39,LV,2023-01-23 22:19:07
27,thompson,55.7435,-97.8558,-20.91,71,20,2.57,CA,2023-01-23 22:19:08
28,jamestown,42.097,-79.2353,-0.71,72,100,4.12,US,2023-01-23 22:16:45
29,hithadhoo,-0.6,73.0833,26.34,78,83,4.25,MV,2023-01-23 22:19:11
30,coquimbo,-29.9533,-71.3436,20.85,68,20,6.17,CL,2023-01-23 22:14:49
31,cidreira,-30.1811,-50.2056,24.99,73,32,4.9,BR,2023-01-23 22:19:14
32,puerto ayora,-0.7393,-90.3518,26.98,93,49,4.02,EC,2023-01-23 22:17:46
33,barrow,71.2906,-156.7887,-21.99,84,40,8.23,US,2023-01-23 22:18:19
34,yulara,-25.2406,130.9889,24.57,33,2,7.38,AU,2023-01-23 22:19:18
35,rossosh,51.1209,38.5116,-6.12,88,46,2.62,RU,2023-01-23 22:19:19
36,cabo san lucas,22.8909,-109.9124,26.61,62,40,5.14,MX,2023-01-23 22:17:02
37,katsuura,35.1333,140.3,6.01,85,100,2.01,JP,2023-01-23 22:19:22
38,ushuaia,-54.8,-68.3,15.81,55,75,2.57,AR,2023-01-23 22:19:23
39,srednekolymsk,67.45,153.6833,-31.89,95,100,1.81,RU,2023-01-23 22:19:26
40,albany,42.6001,-73.9662,0.77,86,100,5.36,US,2023-01-23 22:16:52
41,georgetown,5.4112,100.3354,25.96,94,40,0.0,MY,2023-01-23 22:15:11
42,qaanaaq,77.484,-69.3632,-27.4,60,33,3.04,GL,2023-01-23 22:19:30
